         24480015 function calls (24477670 primitive calls) in 22.637 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
       15    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1499(_array_str_implementation)
       96    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
       13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      640    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
      160    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        5    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
       15    0.000    0.000    0.000    0.000 arrayprint.py:463(wrapper)
      411    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      429    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      222    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
